clientId,INC,ApnaDal,SP,RLD,BJP,BSP
cdb7937e-4668-4d4d-aa5a-d165de2f71f5,Very far,Very far,Very inclined,Very far,Very far,Very far
1dd4a698-0d23-4d14-8430-f4676b6e8acf,Very far,Very far,Very far,Very far,Very inclined,Very far
bde26901-6565-49f8-a5c5-1f577fece60f,Very far,Very far,Very inclined,Very far,Very far,Very far
ca4c1597-bb43-42b1-870f-8989e5727f95,Very inclined,Very far,Very far,Very far,Very inclined,Very far
35fc33ae-f5f6-48dd-94d7-a010bab698fc,Far,Very far,Inclined,Very far,Very inclined,Very far
741cb841-0d52-44d6-89c3-2d0434ef0e91,Very inclined,Very far,Very far,Very far,Very inclined,Very far
c1dab302-29e6-4edc-b475-0037af251963,Very far,Very far,Very inclined,Very far,Very far,Very far
cb04c7d9-788a-4d36-bf50-63fc91aaa840,Far,Very far,Very far,Very far,Inclined,Very far
34ffced7-6e82-4d5e-8ca9-d3bf3982244d,Very far,Very far,Very far,Very far,Very inclined,Very far
39727105-6191-43ab-98aa-ba84c1420923,Very far,Very far,Very inclined,Very far,Very far,Very far
4341deb8-0ef5-4447-989b-2599238ae810,Far,Very far,Far,Very far,Inclined,Very far
3fa6fe84-e460-4781-b365-272003f3a0ad,Very far,Very far,Very inclined,Very far,Very far,Very far
b32f99a6-8455-4d2b-bbd3-1251b7aa2cc0,Very far,Very far,Very far,Very far,Very inclined,Very far
fc3ae3cc-7332-468f-b36d-1bf80f98b960,Very far,Very far,Inclined,Very far,Very inclined,Very far
a09614ef-af29-490e-bcd7-500e54e00a7d,Very inclined,Very far,Very far,Very far,Very far,Very far
a9f242dd-fdb2-40f4-aa11-78d82966abdc,Very far,Very far,Very far,Very far,Very inclined,Very far
d1d9f42d-f7ff-4699-8201-c8caae5b49f5,Very far,Very far,Very far,Very far,Very inclined,Very far
80223076-ddde-4703-b9f0-7115fe4d7f1c,Very far,Very far,Very far,Very far,Very inclined,Very far
8588cc67-f17b-47f6-9ac5-2df177c6cc6d,Very far,Very far,Very far,Very far,Very inclined,Very far
21195ae9-2fa7-4699-85a2-539779d5e9af,Very far,Very far,Very far,Very far,Very inclined,Very far
3ca27374-7462-4848-a702-82cca99f20b8,Very far,Very far,Very far,Very far,Inclined,Very far
1a36b5b6-73a3-4c91-a556-d7b8817cee41,Very far,Very far,Very far,Very far,Very inclined,Very far
76bad1ea-0718-412f-9f7f-af6d797a947c,Very far,Very far,Very far,Very far,Very inclined,Very far
405313d4-8ab5-4a1b-ab30-bab004d582a5,,Very far,Far,Very far,Very inclined,Inclined
42d3523a-5aa0-4375-9c2d-76f02d23d593,Very far,Very far,Very far,Very far,Very inclined,Very far
64268991-0159-4fb0-bf75-a7e914dd1d66,Very far,Very far,Very far,Very far,Very inclined,Very far
c14767e6-29f8-4cb7-b43e-64449651d250,Very far,Very far,Very inclined,Very far,Very far,Very far
683b2921-5072-4678-87e1-092be3c76ba2,Very inclined,Very far,Very inclined,Very far,Very far,Very far
07e759d6-b221-4120-b993-af972886f094,Far,Very far,Inclined,Very far,Far,Very far
b8201ae3-0cfe-4351-99d1-8801ea40d324,Very far,Very far,Very far,Very far,Very inclined,Very far
6b40c0b1-f342-4caa-9cce-d8a52a55e053,Inclined,Inclined,Inclined,Inclined,Inclined,Inclined
a83e1aa9-c5de-4a30-b767-ee8a47126fc8,Very far,Very far,Very far,Very far,Very inclined,Very far
b493520e-b408-440e-b639-984cdf72c653,Very far,Very inclined,Very far,Very far,Very inclined,Very far
041ffd1b-27e1-4799-b94d-9d44b1010a5d,Very far,Very far,Very far,Very far,Very inclined,Very far
dc54ff8b-f4f6-406a-b33e-d98d9e3369a8,Very far,Inclined,Inclined,Very far,Very inclined,Very far
f88f4484-e23b-4503-b939-3fddadf02960,Very far,Very far,Very far,Very far,Very inclined,Very far
0ff37203-1156-44bc-8620-119c4dab427b,Far,Very far,Far,Far,Far,Inclined
2eabffa8-9097-45af-a951-da36d32c68c7,Very far,Very far,Very far,Very far,Very inclined,Very far
96525ce2-28dd-43a0-b475-320977208469,Very far,Very far,Very far,Very far,Very inclined,Very far
fc0a6a6e-8c73-499a-a8f8-afb01b2853f7,Very far,Very far,Very far,Very far,Very inclined,Very far
ad3ab009-7048-4720-89a5-88cd17c890ab,Very far,Very far,Very inclined,Very far,Very far,Very far
5e3b993c-74aa-4659-84a1-d53bed98d5ce,Very far,Very far,Very far,Very far,Very inclined,Very far
ac99da7d-7f6d-4bf4-aeb2-b9b5fdcaa5d6,Very far,Very far,Very inclined,Inclined,Very far,Very far
f91fdd83-fc80-44d0-b3f8-931f35627003,Very far,Very far,Very far,Very far,Very inclined,Very far
ba029e3a-fc52-432b-82b2-6f8f261a7af9,Very far,Very far,Inclined,Very far,Very inclined,Very far
90315baf-4754-4048-a9f9-6ba2c87a51d7,Very far,Very far,Very far,Very far,Very inclined,Very far
